problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
HamiltonianPath,gryzzles.44.lp,0.016,628,201,2,199,1,199,1652,2922,1524,1523,1324,0,505,2780,634,944,5,5,1,948,376,572,0,5,2,4536,770,387,387,1,41,4418,2538,,4418,2538,2855,2538,7,4219,2538,37,4406,2538,40,4397,2538,41,4366,2538,40,4091,2538,30,4410,2538,40,4277,2538,37,4395,2538,40,4242,2538,31,7
HamiltonianPath,gryzzles.46.lp,0.031,1303,752,2,750,6,750,1840,3596,1812,1679,1522,0,567,3536,698,1082,5,5,1,1086,436,650,0,5,2,5350,836,393,393,1,63,5176,2794,,5176,2794,3185,2794,9,5105,2794,59,5147,2794,63,4624,2794,41,4996,2794,63,5165,2794,63,5161,2794,62,5103,2794,62,5036,2794,57,5040,2794,57,11
HamiltonianPath,gryzzles.48,0.016,952,427,3,424,2,424,1622,4412,2660,2973,1042,0,588,3130,1039,2336,3,3,1,136,136,135,135,3,3,3916,7563,2467,2467,2,25,10894,4865,,10894,4865,9075,4865,13,10894,4865,25,10894,4865,25,10879,4865,25,10894,4865,25,10894,4865,25,10894,4865,25,10894,4865,25,10894,4865,25,10894,4865,25,
HamiltonianPath,gryzzles.48.lp,0.078,3796,2289,1,2288,14,2288,1880,3753,1877,1709,1568,0,581,3717,712,1116,5,5,1,1118,450,668,0,5,2,5544,848,393,393,1,44,5356,2850,,5356,2850,2872,2850,11,4911,2850,39,5125,2850,40,5298,2850,45,5348,2850,45,5320,2850,44,5350,2850,45,5330,2850,43,5344,2850,45,5290,2850,44,8
HamiltonianPath,gryzzles.6.lp,0.0,731,210,2,208,1,208,1520,2661,1393,1373,1232,0,465,2557,584,884,5,5,1,886,346,540,0,5,2,4160,708,357,357,1,27,4052,2338,,4052,2338,2599,2338,7,3847,2338,27,3883,2338,28,4032,2338,30,4045,2338,28,3915,2338,26,4035,2338,27,4035,2338,27,4048,2338,28,3782,2338,28,6
HamiltonianPath,gryzzles.7.lp,0.016,1090,399,1,398,3,398,1578,2905,1493,1452,1279,0,484,2799,603,911,5,5,1,914,365,549,0,5,2,4435,728,357,357,1,36,4308,2414,,4308,2414,2906,2414,9,4083,2414,30,4055,2414,33,4155,2414,33,4259,2414,36,4274,2414,32,4308,2414,36,4297,2414,36,4227,2414,35,3977,2414,34,6
HamiltonianPath,gryzzles.8.lp,0.016,876,287,11,276,2,276,1511,2677,1395,1422,1194,0,462,2511,580,848,5,5,1,851,343,508,0,5,2,4149,706,357,357,1,33,4044,2324,,4044,2324,3004,2324,8,3709,2324,27,3670,2324,23,3949,2324,32,3893,2324,30,3936,2324,33,3965,2324,32,4041,2324,34,4038,2324,33,3895,2324,30,7
HamiltonianPath,hampath.ngrnd.6,0.063,2624,1768,2,1766,13,1766,1852,8446,4777,3495,1209,0,649,5276,1207,6038,3,3,1,107,107,106,106,3,3,4730,18649,6137,6137,2,238,22728,8997,,22728,8997,20560,8997,181,22699,8997,242,22709,8997,243,22684,8997,236,22728,8997,238,22728,8997,238,22728,8997,238,22728,8997,238,22728,8997,238,22728,8997,238,
CompanyControls,instance-2,0.094,0,0,0,0,0,0,35006,23898,9933,35611,0,0,0,0,170,4714,361,175,186,0,0,0,0,0,175,0,85185,116,116,1,225,71219,31532,,71219,31532,71219,31532,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KnightsTour,knights_13_13_t17.lp,0.156,485,11,0,11,0,11,8532,48629,31318,16536,4957,0,2251,12044,2721,23018,170,170,1,5252,5235,2562,2545,170,3,53967,71771,25906,25906,1,,122818,54195,,122818,54195,120538,54195,,122459,54195,,122812,54195,,122806,54195,,122532,54195,,122262,54195,,121689,54195,,121490,54195,,121982,54195,,119808,54195,,
